product_id,product_name,aisle,department,product_price
39285,Vanilla Raspberry Swirl Frozen Yogurt,ice cream ice,frozen,31000
4953,Chocolate Almond Fudge Ice Cream,ice cream ice,frozen,51000
49459,Dark Chocolate Non Dairy Frozen Dessert Bar,ice cream ice,frozen,58000
20175,The Original Vanilla Ice Cream Sandwich,ice cream ice,frozen,66000
8507,Fun Flavors Spumoni Ice Cream,ice cream ice,frozen,6000
7901,"Ice Pops Sugar Free, Orange, Cherry, Grape",ice cream ice,frozen,29000
29964,Organic Savory Spice Sweet Potato Fries,frozen meals,frozen,23000
19069,Ice Cream Sandwiches,ice cream ice,frozen,44000
8668,Homemade Vanilla Ice Cream,ice cream ice,frozen,82000
25872,Salted Caramel & Chocolate Non Dairy Frozen Dessert,ice cream ice,frozen,56000
30176,Fruit Bars Straw Tangerine,ice cream ice,frozen,51000
40085,Raspberry Popsicle,ice cream ice,frozen,36000
40215,Banana Cinnamon Frozen Pops,ice cream ice,frozen,75000
22557,White Vanilla Bean Ice Cream Dipped in White Chocolate,ice cream ice,frozen,84000
9223,Spiced Pumpkin Frozen Yogurt,ice cream ice,frozen,40000
14654,Home Menu Grilled with Lo Mein Noodles Chicken Teriyaki,frozen meals,frozen,69000
944,Vanilla Orange Swirl Ice Cream,ice cream ice,frozen,41000
10891,Carb Smart Vanilla Frozen Dairy Dessert,ice cream ice,frozen,46000
12032,Coconut Milk INon Dairy Frozen Dessert Coconut,ice cream ice,frozen,20000
13732,Outshine Fruit Bars Assorted Fruit,ice cream ice,frozen,13000
18788,Buttery Pecan Ice Cream,ice cream ice,frozen,16000
3532,Caramel Sea Salt Gelato,ice cream ice,frozen,39000
23370,"Chicken Tandoori, with Spinach",frozen meals,frozen,69000
23409,Kiev Breaded Raw Stuffed Chicken Breasts,frozen meals,frozen,25000
18429,Beef & Bean Burrito,frozen meals,frozen,67000
32475,Meyer Lemon Sorbet,ice cream ice,frozen,13000
43856,Ice Cream,ice cream ice,frozen,83000
17491,Strawberry Shortcake Greek Frozen Yogurt,ice cream ice,frozen,47000
36044,Vanilla Slow Churned Yogurt Blends,ice cream ice,frozen,66000
24295,All Natural Raspberry Sorbet,ice cream ice,frozen,50000
39690,Tootsie Pop,ice cream ice,frozen,15000
4042,Chicken Curry with Seasoned Basmati Rice,frozen meals,frozen,58000
37143,Strawberry Truffle Gelato,ice cream ice,frozen,81000
36941,Rock It Red Frozen Veggie and Fruit Pops,ice cream ice,frozen,84000
34985,Orange Cream Low Fat Ice Cream Bars,ice cream ice,frozen,21000
44613,"Ice Cream, Organic, Land of Milk and Honey",ice cream ice,frozen,84000
7804,Watermelon Pops,ice cream ice,frozen,7000
18379,Raspberry Sorbet,ice cream ice,frozen,23000
29566,Java Chip Ice Cream,ice cream ice,frozen,45000
21632,Butterfinger Ice Cream,ice cream ice,frozen,27000
14469,Caramel Praline Crunch Fat Free Frozen Yogurt,ice cream ice,frozen,56000
4994,gelato Coffee Toffee,ice cream ice,frozen,83000
16641,Strawberry Fruit Bars,ice cream ice,frozen,56000
47657,Macaroni & Cheese with Broccoli,frozen meals,frozen,6000
43750,Nondairy Cashew Simply Vanilla Ice Cream,ice cream ice,frozen,9000
35229,Bean & Cheese Burritos,frozen meals,frozen,20000
12077,Ice Cream Super Chunky Cookie Dough,ice cream ice,frozen,8000
44146,Gluten Free Paleo Gnocchi,frozen meals,frozen,17000
44509,Country Herb Chicken Complete Meals,frozen meals,frozen,11000
20089,Four Meat & Four Cheese Pizza Garlic Buttery Crust,frozen meals,frozen,1000
40258,Chickpea & Sweet Potato Picadillo,frozen meals,frozen,7000
15709,Chocolate Grand Ice Cream,ice cream ice,frozen,73000
42882,Madagascar Bourbon VanillaBean  Ice Cream,ice cream ice,frozen,48000
18020,Black Raspberry Chocolate Chip Ice Cream,ice cream ice,frozen,58000
43770,Classic Meat Loaf Complete Meals,frozen meals,frozen,2000
7887,Pesto Ravioli,frozen meals,frozen,37000
9727,Fannie May Mint,ice cream ice,frozen,6000
25452,Beef Tamales,frozen meals,frozen,15000
24539,Pocket Turkey Broccoli & Cheddar,frozen meals,frozen,62000
18268,Grilled Chicken Parmesan,frozen meals,frozen,70000
1620,Glazed Turkey Tenderloins,frozen meals,frozen,85000
44124,Cappuccino non dairy frozen dessert,ice cream ice,frozen,66000
28185,"Vanilla, Tangerine & Shortbread Ice Cream",ice cream ice,frozen,69000
44982,Coconut Bliss Pineapple Coconut,ice cream ice,frozen,62000
19158,Pesto Pasta Primavera,frozen meals,frozen,20000
33207,Italian-Style Pasta Bake,frozen meals,frozen,52000
44265,"Roasted white meat chicken, whole wheat noodles, green beans & carrots in a creamy chili peanut sauce. Thai-Style Noodles With Chicken",frozen meals,frozen,18000
28439,Grape Fruit Ice Bars,ice cream ice,frozen,41000
15155,Creamy Vanilla Fat Free Ice Cream,ice cream ice,frozen,4000
46410,Drumstick Vanilla Ice Cream Cone,ice cream ice,frozen,10000
17736,Sesame Brittle Ice Cream,ice cream ice,frozen,35000
38275,Cocktail Style Cubes  Spring Water Ice,ice cream ice,frozen,69000
15465,Cheddar Cheeseburger Crispy Buttery Crust Sandwiches,frozen meals,frozen,15000
48542,"Minis, Assorted Ice Cream Bars",ice cream ice,frozen,73000
18544,Organic Chocolate Ice Cream,ice cream ice,frozen,25000
1824,"Frozen Desserts, Cookies and Cream",ice cream ice,frozen,5000
15264,Snickers Ice Cream Bar,ice cream ice,frozen,23000
28904,Peanut Butter Fudge Ripple Ice Cream,ice cream ice,frozen,31000
20404,Mint Chip Almond Milk Non-Dairy Frozen Dessert,ice cream ice,frozen,62000
36242,Eskimo Pie Milk Chocolate Frozen Dairy Dessert Bars,ice cream ice,frozen,2000
11653,Dairy-Free Bananas for PB & Chocolate Frozen Dessert,ice cream ice,frozen,30000
606,Salted Caramel Ice Cream,ice cream ice,frozen,35000
24425,"Freshly made pasta, rich meat sauce and Real Mozzarella cheese Lasagna with Meat & Sauce",frozen meals,frozen,70000
11879,Organic Salted Caramel Swirl Ice Cream Bar,ice cream ice,frozen,56000
13617,Banana Split Ice Cream,ice cream ice,frozen,12000
10166,Almond Milk Cookies N' Cream Non-Dairy Frozen Dessert,ice cream ice,frozen,35000
18425,Royale Vanilla Dairy-Free Ice Cream,ice cream ice,frozen,30000
2361,Mint Chip,ice cream ice,frozen,23000
5524,Oatmeal Raisin Cookie Gelato,ice cream ice,frozen,18000
47026,Blueberry Passion Fruit Sorbetto,ice cream ice,frozen,77000
45161,Pistachio Pistachio Ice Cream,ice cream ice,frozen,3000
4987,"Hint of Mint, Rich Chocolate with a Splash of Mint Fit Frozen Dessert",ice cream ice,frozen,67000
43378,Coconut Milk Non Dairy Frozen Dessert Chocolate Peanut Butter Swirl,ice cream ice,frozen,53000
39814,Hawaiian Style Teriyaki Chicken Bowl,frozen meals,frozen,40000
30336,Organic Beans And Cheese Burrito,frozen meals,frozen,70000
185,Chicken Nugget Meal,frozen meals,frozen,44000
39791,Comfort Cheddar Bacon Chicken,frozen meals,frozen,17000
1603,Chocolate Fudge Ice Cream Bars,ice cream ice,frozen,62000
27224,Organic Ginger Cookie Caramel Coconut Bliss Non-dairy Frozen Dessert,ice cream ice,frozen,4000
23990,Spongebob Pop Ups Frozen Dairy Dessert,ice cream ice,frozen,3000
10357,California Almond Ice Cream,ice cream ice,frozen,21000
9834,Berry Rainbow Sherbert,ice cream ice,frozen,56000
44254,White Chocolate Raspberry Truffle Ice Cream,ice cream ice,frozen,6000
25343,Pumpkin Ice Cream,ice cream ice,frozen,45000
7197,Organic Strawberry Je Ne Sais Quoi Ice Cream,ice cream ice,frozen,74000
22747,Vanilla Bean Sheep Milk Ice Cream,ice cream ice,frozen,85000
720,Artisan Spiced Pecan Turtle Ice Cream,ice cream ice,frozen,59000
23483,"Slow Churned Ice Cream, Peanut Butter Cup, Light",ice cream ice,frozen,69000
49080,"Coconut Milk Non Dairy Frozen Dessert, Pomegranate Chip",ice cream ice,frozen,52000
44344,"\""Louis Ba-Kahn\"" Chocolate Chip Cookie & Brown Butter Candied Bacon Ice Cream Sandwich",ice cream ice,frozen,11000
32041,Peach Fruit Ice Bars 6 ct,ice cream ice,frozen,14000
10657,Totally Fudge Premium Pops,ice cream ice,frozen,51000
44100,Drumstick Variety Pack Frozen Dairy Dessert Cones,ice cream ice,frozen,66000
24743,Chocolate Infinity and Raspberry Ice Cream Bars,ice cream ice,frozen,46000
45681,Americone DreamÃ‚Â® Ice Cream,ice cream ice,frozen,56000
5029,Chocolate Chip With Vanilla Bean Ice Cream,ice cream ice,frozen,23000
47993,Cherry Garcia Ice Cream,ice cream ice,frozen,3000
20660,Mint Chocolate Chip Frozen Coconut Dessert,ice cream ice,frozen,33000
40505,Vanilla Milk Chocolate Ice Cream Bar,ice cream ice,frozen,19000
9804,Four Cheese Pizza,frozen pizza,frozen,9000
13077,Pepperoni Pizza,frozen pizza,frozen,39000
23037,Singles Pepperoni French Bread Pizzas,frozen pizza,frozen,63000
43820,Light & Lean Italian Vegetable Pizza,frozen pizza,frozen,55000
46172,Three Meat & Four Cheese Lasagna,frozen meals,frozen,47000
12238,Farmhouse Mac & Cheese,frozen meals,frozen,10000
25601,Mandarin Orange Chicken,frozen meals,frozen,34000
11146,Family Size Comfort Bakes Vermont White Cheddar Mac & Cheese,frozen meals,frozen,56000
16612,Sesame Noodles With Veggies,frozen meals,frozen,62000
19898,Mac & Cheese with Chicken,frozen meals,frozen,14000
48486,Frozen Goo-Berry Pie Kefir,ice cream ice,frozen,72000
10213,Rumplemint Goat's Milk Ice Cream,ice cream ice,frozen,3000
26184,Cookies 'n Cream Low Fat Ice Cream Sandwiches,ice cream ice,frozen,49000
43879,Rainbow Sherbet,ice cream ice,frozen,59000
44004,Mint Chocolate non-dairy dessert,ice cream ice,frozen,39000
25901,Velvety Vanilla Bean Grand Ice Cream,ice cream ice,frozen,9000
34283,Fudgsicle No Sugar Added,ice cream ice,frozen,58000
28326,Organic Gotta Have Vanilla Nonfat Frozen Yogurt,ice cream ice,frozen,26000
8486,Slow Churned Light Coffee Ice Cream,ice cream ice,frozen,74000
35742,Honey Crunchy Flavor Corn Dogs 6 Count,frozen meals,frozen,71000
13389,Get Cultured  Functional Breakfast Burrito,frozen meals,frozen,36000
11455,Slow Churned Vanilla Bean Ice Cream,ice cream ice,frozen,70000
21298,Organic Cake Cones,ice cream ice,frozen,29000
16548,Maple Pecan Ice Cream,ice cream ice,frozen,82000
36195,Crunch Frozen Dairy Dessert Bar,ice cream ice,frozen,4000
42957,Mrs. Fields Chocolate Fudge Brownie Ice Cream,ice cream ice,frozen,16000
3842,Strawberry Dark Chocolate Gelato Bars,ice cream ice,frozen,77000
44988,Pineapple Coconut Ice Cream,ice cream ice,frozen,67000
16796,Gluten Free Chicken Florentine,frozen meals,frozen,25000
30120,Backyard BBQ Meal,frozen meals,frozen,24000
14204,Organic White Meat Chicken Pie,frozen meals,frozen,45000
13277,Microwaveable Hamburgers,frozen meals,frozen,60000
30162,Teriyaki & Pineapple Chicken Meatballs,frozen meals,frozen,42000
16518,Tropicals Sugar Free 1.65 fl oz Ice Pops,ice cream ice,frozen,36000
14335,Phish FoodÃ‚Â® Ice Cream,ice cream ice,frozen,20000
34224,Vanilla Frozen Non-Dairy Dessert Bites,ice cream ice,frozen,41000
45361,Sugar Cookie with Sea Salted Caramel  Ice Cream Sandwiches,ice cream ice,frozen,49000
23896,TCHO Chocolate Gelato Bar,ice cream ice,frozen,61000
18515,Triple Chocolate Ice Cream,ice cream ice,frozen,74000
1752,Mango Sorbet,ice cream ice,frozen,67000
2884,Ice Cream Tahitian Vanilla,ice cream ice,frozen,9000
16369,Sorbetto Mango,ice cream ice,frozen,34000
27668,Green Tea Ice Cream,ice cream ice,frozen,70000
25397,Blasts! Reese's Peanut Butter Cups Frozen Dairy Dessert,ice cream ice,frozen,69000
35107,Naturally Rising Crust Pepperoni Pizza,frozen pizza,frozen,19000
